tags,pilates,name,location,avg_rating,num_ratings
"['pilates', ' strength training', ' …']",True,Sopers House LTD,"Sopers Road, Cuffley",4.9,(1000+)
"['yoga', ' pilates']",True,MoreYoga,"Wickford Way, Walthamstow, London",4.7,(7500+)
['pilates'],True,Everybody Reformer,"325 Upper Elmers End Road, Beckenham",4.9,(2500+)
"['yoga', ' pilates', ' …']",True,Yonder Studio,"4 - 6a Hookers Road, London",4.9,(5000+)
"['pilates', ' strength training']",True,Core Kensington,"375 Kensington High St, London",4.7,(17500+)
"['yoga', ' pilates', ' …']",True,Dragonfly Yoga,"22A to 24 Sydenham Road Sydenham, London",4.8,(5000+)
['pilates'],True,Sculpt Studio Fitness Ltd,"54 Hayes Street, Bromley",4.9,(1000+)
"['pilates', ' prenatal']",True,Ten Health & Fitness,"2-4 Exmoor St, London",4.7,(20000+)
['pilates'],True,DropPilates,"DropGym Mill Hill, 54 The Broadway,, London",4.9,(1000+)
"['pilates', ' prenatal', ' …']",True,Ten Health & Fitness,"38 Hatton Garden, Lower Ground Floor, London",4.7,(27500+)
"['dance', ' aerial', ' …']",False,The Factory Fitness & Dance Centre LTD,"407 Hornsey Rd, London",4.8,(5000+)
"['gym time', ' strength training', ' …']",False,Gymbox,"123 Victoria Street, London",4.7,(7500+)
"['gym time', ' strength training', ' …']",False,Gymbox,"12a Leather Ln, London",4.7,(5000+)
"['yoga', ' barre', ' …']",False,Light Centre,"49 Marylebone High St, Marylebone, London",4.8,(7500+)
"['yoga', ' pilates']",True,Hot Yoga Essex,"228B High Rd, Loughton",4.8,(5000+)
"['gym time', ' strength training', ' …']",False,Snap Fitness,"130-138 Newington Butts, London",4.8,(5000+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"Unit B2 13 Atkins Square Dalston Lane, London",4.7,(10000+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"Unit F, Naomi Street, Greenland Place, London",4.8,(5000+)
"['yoga', ' pilates']",True,MoreYoga,"357 Norwood Road, London",4.8,(5000+)
['pilates'],True,Ten Health & Fitness,"6 Duke Street St James's, London",4.6,(25000+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"47 Liberty Bridge Road, London",4.7,(5000+)
"['pilates', ' prenatal']",True,Ten Health & Fitness,"83 Great Titchfield St, London",4.8,(15000+)
"['yoga', ' pilates', ' …']",True,Serenity Space,"205 Merton Rd, London",4.7,(7500+)
"['yoga', ' pilates', ' …']",True,ZenW2 Collective,"Zenw2 Wellness Collective, London",4.9,(2500+)
"['pilates', ' strength training']",True,High Vibe,"6 Melbourne Grove, London",4.8,(2500+)
"['stretching', ' yoga', ' …']",False,MoreYoga,"12 Birkbeck Mews, London",4.8,(10000+)
"['gym time', ' strength training', ' …']",False,Topnotch Gyms,"Dufour's Place, London",4.8,(2500+)
"['yoga', ' pilates', ' …']",True,Kindred Yoga,"Unit D Norfolk house, Brookmill Road, London",4.8,(2500+)
"['pilates', ' stretching', ' …']",True,Absolute Studios,"77A College Road, London",4.9,(1000+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"49 Tower Bridge Rd, London",4.7,(7500+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"199 Haggerston Road, London",4.7,(5000+)
['pilates'],True,Heba Pilates,"228 Upper Richmond Road, London",4.8,(2500+)
"['pilates', ' prenatal']",True,Ten Health & Fitness,"119-121 Middlesex St, London",4.7,(30000+)
"['yoga', ' pilates', ' …']",True,moreyoga,"12 Lambarde Square East Greenwich, London",4.8,(2500+)
"['yoga', ' pilates']",True,MoreYoga,"7 Horselydown Lane, London",4.7,(7500+)
"['gym time', ' strength training', ' …']",False,Fitness First,"279-291 Balham High Road, London",4.6,(7500+)
"['yoga', ' pilates', ' …']",True,Yogarise,"27 Beethoven Street, London",4.7,(1000+)
"['pilates', ' strength training']",True,Trent Park Pilates,"Bramley Rd,Trent Park Equestrian Centre, London",5.0,(1000+)
"['pilates', ' yoga', ' …']",True,YMCA at One KX,"120 Cromer St, London",4.6,(7500+)
"['yoga', ' pilates']",True,MoreYoga,"114 Falcon Road, London",4.7,(5000+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"40 Queen St, London",4.6,(17500+)
